2026/02/12 11:38:35 [client] shardkv client putappend key:0 value:_LBhPXgp-PAdFzyrvxj2 op:Put to server:&{n1_sw6gKRxu28cRk1WZf 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:0 value:_LBhPXgp-PAdFzyrvxj2 op:Put to server:&{Vtu6nbUGXCQYW8z3tGbS 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:0 value:_LBhPXgp-PAdFzyrvxj2 op:Put to server:&{23SNIvGggRUWdorgfG97 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:1 value:072HFcKmS9BxDWVCvul8 op:Put to server:&{KXZUAyuB3FxPbRMMIfnJ 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:1 value:072HFcKmS9BxDWVCvul8 op:Put to server:&{7VboALJIgWMKUzPbVMLZ 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:1 value:072HFcKmS9BxDWVCvul8 op:Put to server:&{HgdsV3D78l9G864TueEh 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:2 value:VTde9G2dz7BGSYqgBiwT op:Put to server:&{7R_7yIbNKYPaDxcY1DJg 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:2 value:VTde9G2dz7BGSYqgBiwT op:Put to server:&{nTH4jhTk9A3rOER0eECu 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:2 value:VTde9G2dz7BGSYqgBiwT op:Put to server:&{0YwwHNDTi4ejUqgRPvqJ 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:3 value:WZVNXtUO3NByXtM5xkIs op:Put to server:&{ZPtlVk614eDndDr8h97i 0xc000024310 0xc000024380}, shard:1, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:3 value:WZVNXtUO3NByXtM5xkIs op:Put to server:&{8RCX-xPHSEvctBfEn_od 0xc000024310 0xc000024380}, shard:1, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:3 value:WZVNXtUO3NByXtM5xkIs op:Put to server:&{LnCPuCpUvXAkWb7pMrzF 0xc000024310 0xc000024380}, shard:1, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:4 value:JW5us9jBWLExTPi7-7gu op:Put to server:&{0sTvVV2nNzQnhsJasOIl 0xc000024310 0xc000024380}, shard:2, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:4 value:JW5us9jBWLExTPi7-7gu op:Put to server:&{_RgjZenGL9LFErzfBx-p 0xc000024310 0xc000024380}, shard:2, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:4 value:JW5us9jBWLExTPi7-7gu op:Put to server:&{yCSU0OCBk8rYvNJfqRQC 0xc000024310 0xc000024380}, shard:2, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:5 value:NqszTYURyspy5Gsugi04 op:Put to server:&{TIgle_tbHjn3_kfKtrsP 0xc000024310 0xc000024380}, shard:3, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:5 value:NqszTYURyspy5Gsugi04 op:Put to server:&{_PhtYApZjWThe9suTYzI 0xc000024310 0xc000024380}, shard:3, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:35 [client] shardkv client putappend key:5 value:NqszTYURyspy5Gsugi04 op:Put to server:&{eFChnOdp0zR4QNuXI0io 0xc000024310 0xc000024380}, shard:3, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:6 value:W26rgcR8H4LdusY50r1h op:Put to server:&{yWmDbccywjeBt4BpsAVr 0xc000024310 0xc000024380}, shard:4, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:6 value:W26rgcR8H4LdusY50r1h op:Put to server:&{KTK5Sj4SGNpCxCYQ4PqK 0xc000024310 0xc000024380}, shard:4, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:6 value:W26rgcR8H4LdusY50r1h op:Put to server:&{76fDGRT4X7XNe-gn-2q2 0xc000024310 0xc000024380}, shard:4, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:7 value:cZCTlAO5Ga1Cm_lNY-DJ op:Put to server:&{hCgSDbax5_vlH3uAjmPz 0xc000024310 0xc000024380}, shard:5, gid:100 servers:[server-100-0 server-100-1 server-100-2]
